Title, Author, Checked In
"""Jim Corbett Omnibus""","""Corbett, Jim""",1
"""Journal of Economics, vol 106 No 3""","""Unknown""",1
"""Journal of a Novel""","""Steinbeck, John""",1
"""Judge, The""","""Unknown""",1
"""Jurassic Park""","""Crichton, Michael""",1
"""Justice League: The Villain's Journey""","""Unknown""",1
"""Justice League: Throne of Atlantis""","""Unknown""",1
"""Justice, Judiciary and Democracy""","""Ranjan, Sudhanshu""",1
"""Karl Marx Biography""","""Unknown""",1
"""Killing Joke, The""","""Unknown""",1
"""Last Lecture, The""","""Pausch, Randy""",1
"""Last Mughal, The""","""Dalrymple, William""",1
"""Learning OpenCV""","""Bradsky, Gary""",1
"""Let Us C""","""Kanetkar, Yashwant""",1
"""Life in Letters, A""","""Steinbeck, John""",1
"""Machine Learning for Hackers""","""Conway, Drew""",1
"""Making Software""","""Oram, Andy""",1
"""Manasa""","""Kale, V P""",1
"""Maqta-e-Ghalib""","""Garg, Sanjay""",1
"""Maugham's Collected Short Stories, Vol 3""","""Maugham, William S""",1
"""Mein Kampf""","""Hitler, Adolf""",1
"""Men of Mathematics""","""Bell, E T""",1
"""Moon and Sixpence, The""","""Maugham, William S""",1
"""Moon is Down, The""","""Steinbeck, John""",1
"""More Tears to Cry""","""Sassoon, Jean""",1
"""Mossad""","""Baz-Zohar, Michael""",1
"""Murphy's Law""","""Unknown""",1
"""Nature of Statistical Learning Theory, The""","""Vapnik, Vladimir""",1
"""Neural Networks""","""Haykin, Simon""",1
"""New Machiavelli, The""","""Wells, H. G.""",1
"""New Markets & Other Essays""","""Drucker, Peter""",1
"""Numbers Behind Numb3rs, The""","""Devlin, Keith""",1
"""O Jerusalem!""","""Lapierre, Dominique""",1
"""On Education""","""Russell, Bertrand""",1
"""Once There Was a War""","""Steinbeck, John""",1
"""One""","""Bach, Richard""",1
"""Orientalism""","""Said, Edward""",1
"""Outsider, The""","""Camus, Albert""",1
"""Oxford book of Modern Science Writing""","""Dawkins, Richard""",1
"""Pattern Classification""","""Duda, Hart""",1
"""Phantom of Manhattan, The""","""Forsyth, Frederick""",1
"""Philosophy: Who Needs It""","""Rand, Ayn""",1
"""Physics & Philosophy""","""Heisenberg, Werner""",1
"""Pillars of the Earth, The""","""Follett, Ken""",1
"""Pointers in C""","""Kanetkar, Yashwant""",1
"""Political Philosophers""","""Unknown""",1
"""Power Electronics - Mohan""","""Mohan, Ned""",1
"""Power Electronics - Rashid""","""Rashid, Muhammad""",1
"""Prince, The""","""Machiavelli""",1
"""Principles of Communication Systems""","""Taub, Schilling""",1
"""Prisoner of Birth, A""","""Archer, Jeffery""",1
"""Python for Data Analysis""","""McKinney, Wes""",1
"""Radiowaril Bhashane & Shrutika""","""Deshpande, P L""",1
"""Raisin in the Sun, A""","""Hansberry, Lorraine""",1
"""Rationality & Freedom""","""Sen, Amartya""",1
"""Return of the Primitive""","""Rand, Ayn""",1
"""Ropemaker, The""","""Dickinson, Peter""",1
"""Rosy is My Relative""","""Durrell, Gerald""",1
"""Russian Journal, A""","""Steinbeck, John""",1
"""Scoop!""","""Nayar, Kuldip""",1
"""Sea of Poppies""","""Ghosh, Amitav""",1
"""Selected Short Stories""","""Unknown""",1
"""Short History of the World, A""","""Wells, H G""",1
"""Signal and the Noise, The""","""Silver, Nate""",1
"""Simpsons & Their Mathematical Secrets""","""Singh, Simon""",1
"""Slaughterhouse Five""","""Vonnegut, Kurt""",1
"""Social Choice & Welfare, Vol 39 No. 1""","""Various""",1
"""Soft Computing & Intelligent Systems""","""Gupta, Madan""",1
"""Statistical Decision Theory'""","""Pratt, John""",1
"""Statistical Learning Theory""","""Vapnik, Vladimir""",1
"""Story of Philosophy, The""","""Durant, Will""",1
"""Structure & Interpretation of Computer Programs""","""Sussman, Gerald""",1
"""Structure and Randomness""","""Tao, Terence""",1
"""Superfreakonomics""","""Dubner, Stephen""",1
"""Superman Earth One - 1""","""Unknown""",1
"""Superman Earth One - 2""","""Unknown""",1
"""Surely You're Joking Mr Feynman""","""Feynman, Richard""",1
"""Tales of Beedle the Bard""","""Rowling, J K""",1
"""Tales of Mystery and Imagination""","""Poe, Edgar Allen""",1
"""Talking Straight""","""Iacoca, Lee""",1
"""Tao of Physics, The""","""Capra, Fritjof""",1
"""Textbook of Economic Theory""","""Stonier, Alfred""",1
"""Theory of Everything, The""","""Hawking, Stephen""",1
"""Think Complexity""","""Downey, Allen""",1
"""To Sir With Love""","""Braithwaite""",1
"""Trembling of a Leaf, The""","""Maugham, William S""",1
"""Trial, The""","""Kafka, Frank""",1
"""Uncommon Wisdom""","""Capra, Fritjof""",1
"""Unpopular Essays""","""Russell, Bertrand""",1
"""Urlasurla""","""Deshpande P L""",1
"""Veil: Secret Wars of the CIA""","""Woodward, Bob""",1
"""Veteran, The""","""Forsyth, Frederick""",1
"""Vyakti ani Valli""","""Deshpande, P L""",1
"""We the Living""","""Rand, Ayn""",1
"""We the Nation""","""Palkhivala""",1
"""We the People""","""Palkhivala""",1
"""Wealth of Nations, The""","""Smith, Adam""",1
"""Winter of Our Discontent, The""","""Steinbeck, John""",1
"""World's Great Thinkers, The""","""Unknown""",1
"""World's Greatest Short Stories, The""","""Unknown""",1
"""World's Greatest Trials, The""","""Unknown""",1
"""Zen & The Art of Motorcycle Maintenance""","""Pirsig, Robert""",1
